Date	Person	Block	Plot_Nr	VIP_(1)	Species	original_species_in_non_VIP	%weeded	Comments
20200729	Cecile	1	51	0	Pg	1	0.5	
20200729	Cecile	1	51	0	Ra		0	
20200729	Cecile	1	51	0	Pm	1	8	
20200729	Cecile	1	51	0	Ga		0	
20200729	Cecile	1	52	1	To		52	
20200729	Cecile	1	53	1	Dg		8	
20200729	Cecile	1	53	1	Hs		0	
20200729	Cecile	1	53	1	Ra		1	
20200729	Cecile	1	53	1	Ga		90	
20200729	Cecile	1	54	1	Be		1	
20200729	Cecile	1	54	1	Ao		1	
20200729	Cecile	1	54	1	Am		5	
20200729	Cecile	1	54	1	Cj		60	
20200729	Cecile	1	54	1	Dc		0	
20200729	Cecile	1	54	1	Sp		15	
20200729	Cecile	1	54	1	Pg		9	
20200729	Cecile	1	54	1	Pm		10	
20200729	Cecile	1	55	0	Hp		0	
20200729	Cecile	1	55	0	Be		0.5	
20200729	Cecile	1	55	0	Ao	1	0	
20200729	Cecile	1	55	0	Dg		0	
20200729	Cecile	1	55	0	Fr		0	
20200729	Cecile	1	55	0	Hl		1	
20200729	Cecile	1	55	0	Lp		0	
20200729	Cecile	1	55	0	Pt		0	
20200729	Cecile	1	55	0	Am	1	70	
20200729	Cecile	1	55	0	Cj		0.5	
20200729	Cecile	1	55	0	Cb		0	
20200729	Cecile	1	55	0	To		0	
20200729	Cecile	1	55	0	Dc	1	0	
20200729	Cecile	1	55	0	Hs		0	
20200729	Cecile	1	55	0	As		0	
20200729	Cecile	1	55	0	Sp		0	
20200729	Cecile	1	55	0	Pg		0	
20200729	Cecile	1	55	0	Ra		0	
20200729	Cecile	1	55	0	Pm	1	25	
20200729	Cecile	1	55	0	Ga		0.5	
20200729	Cecile	1	56	1	Cj		70	
20200729	Cecile	1	57	0	Hp	1	4	
20200729	Cecile	1	57	0	Be	1	0.5	
20200729	Cecile	1	57	0	Ao	1	0	
20200729	Cecile	1	57	0	Dg		0	
20200729	Cecile	1	57	0	Fr	1	0.5	
20200729	Cecile	1	57	0	Hl		0	
20200729	Cecile	1	57	0	Lp		0	
20200729	Cecile	1	57	0	Pt		0	
20200729	Cecile	1	57	0	Am	1	15	
20200729	Cecile	1	57	0	Cj	1	45	
20200729	Cecile	1	57	0	Cb		0	
20200729	Cecile	1	57	0	To		0	
20200729	Cecile	1	57	0	Dc		0	
20200729	Cecile	1	57	0	Hs		0	
20200729	Cecile	1	57	0	As		0	
20200729	Cecile	1	57	0	Sp	1	20	
20200729	Cecile	1	57	0	Pg	1	1	
20200729	Cecile	1	57	0	Ra		0	
20200729	Cecile	1	57	0	Pm		0	
20200729	Cecile	1	57	0	Ga		0	
20200729	Cecile	1	58	1	Dg		10	
20200729	Cecile	1	58	1	As		0	
20200729	Cecile	1	58	1	Ra		0	
20200729	Cecile	1	58	1	Ga		45	
20200729	Cecile	1	59	20sp	Hp		1	
20200729	Cecile	1	59	20sp	Be		0.5	
20200729	Cecile	1	59	20sp	Ao		0	
20200729	Cecile	1	59	20sp	Dg		0.5	
20200729	Cecile	1	59	20sp	Fr		0.5	
20200729	Cecile	1	59	20sp	Hl		0	
20200729	Cecile	1	59	20sp	Lp		0	
20200729	Cecile	1	59	20sp	Pt		0	
20200729	Cecile	1	59	20sp	Am		0.5	
20200729	Cecile	1	59	20sp	Cj		5	
20200729	Cecile	1	59	20sp	Cb		45	
20200729	Cecile	1	59	20sp	To		12	
20200729	Cecile	1	59	20sp	Dc		0	
20200729	Cecile	1	59	20sp	Hs		0	
20200729	Cecile	1	59	20sp	As		0	
20200729	Cecile	1	59	20sp	Sp		35	
20200729	Cecile	1	59	20sp	Pg		1	
20200729	Cecile	1	59	20sp	Ra		0	
20200729	Cecile	1	59	20sp	Pm		7	
20200729	Cecile	1	59	20sp	Ga		5	
20200729	Cecile	1	60	1	Cb		35	
20200729	Cecile	1	61	0	Hp		0	
20200729	Cecile	1	61	0	Be		0.5	
